rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
155,"spotify:track:1p8MK9zOu7tfDJeS0qk2MM","Aṣa","Show Me Off","Platoon",38,156,13,"14512"
156,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",130,144,15,"14446"
157,"spotify:track:1nltpRhEiXikwDlVn4UADk","Post Malone, The Weeknd","One Right Now (with The Weeknd)","Mercury Records/Republic Records",73,73,6,"14325"
158,"spotify:track:1PoJXULCvl03b1fiZmMxmd","Burna Boy","On The Low","Spaceship Entertainment Ltd.",157,163,12,"14163"
159,"spotify:track:1PLOmSVGYrTRycWnUAWIaF","Cobhams Asuquo, Patoranking, Bella Shmurda","Jah Eli Jah","Cobhams Asuquo",90,162,6,"14156"
160,"spotify:track:7EqoATlXAKNwzv45LAlqRt","Burna Boy","23","Spaceship Entertainment Ltd.",153,169,7,"14065"
161,"spotify:track:0pq7v5FzfN7pv4qVk173a5","L.A.X","Waist Drop","Rasaki Music Ltd / EMPIRE",30,135,4,"13975"
162,"spotify:track:6GbCVFzQZXgP2yd3EQv4hp","PsychoYP, Odumodublvck","Bando Diaries","Apex Village",162,-1,1,"13944"
163,"spotify:track:3XOalgusokruzA5ZBA2Qcb","Gunna, Future, Young Thug","pushin P (feat. Young Thug)","300 Entertainment",55,164,18,"13897"
164,"spotify:track:7qmTex9SyYRHsRNNNUxUxY","Simi","Naked Wire","Studio Brat",93,110,4,"13769"
165,"spotify:track:1oc92BMKYkNxK17C2GtyRM","Polo G","Distraction","Columbia",100,100,2,"13676"
166,"spotify:track:68DOwQvRBFSccgLwVTcTKy","Adekunle Gold","Mercy","Afro Urban Records",31,166,18,"13643"
167,"spotify:track:0vyg6EqfMiu45hQzFmi0YF","Oxlade","Want You","Epic",58,184,13,"13554"
168,"spotify:track:7862flGk6U3tiWs2m2aUzH","Burna Boy","Bank On It","Spaceship Entertainment Ltd.",149,171,7,"13530"
169,"spotify:track:4JzCFEc3O2UEdjKzevvFH5","BTS","For Youth","BIGHIT MUSIC",169,-1,1,"13481"
170,"spotify:track:3ku51L937DfBoNcU9hmDQy","Ruger","Bounce","Columbia",45,170,18,"13391"
171,"spotify:track:1vE1nV0Q3t9gcw6ZlZ0yJT","Khaid","SKI","NEVILLE RECORDS",44,155,8,"13319"
172,"spotify:track:4204hwPYuToiuSunPFUoML","WizKid, Projexx, Tay Iwar","True Love (feat. Tay Iwar & Projexx)","Starboy/RCA Records",158,177,8,"13299"
173,"spotify:track:73osf8cM3sAQwu7GVnpnn0","Candy Bleakz","Tikuku","Chocolate City Music",150,176,7,"13252"
174,"spotify:track:4lpgimjEfb5Dc8rRVYEpGE","Danny Brace","Tomorrow","Ahlumi Entertainment",168,180,4,"13217"
175,"spotify:track:0WZv29OGhRABeryXBPMAV6","Reekado Banks, Fireboy DML","Ozumba Mbadiwe - Remix","OtherSide Media Limited",70,174,18,"13186"
